time,relative_surge,relative_sway,relative_heave,relative_roll,relative_pitch,relative_yaw
0.96,25.7362347172436,0.000104904573532849,0.144206956010713,-1.06823476263387e-05,-0.0333140907825465,4.27715885464125e-06
0.98,25.7370687892689,0.000115620035879616,0.14658090738152,-1.20768049415544e-05,-0.0340849548325671,4.82458227868141e-06
1,25.7378736337097,0.000127008753796787,0.148767913030454,-1.35699353545892e-05,-0.034828467756202,5.40639311868426e-06
1.02,25.7386477588333,0.000139089139647552,0.150761837824144,-1.51648923171818e-05,-0.0355431949880654,6.02323937327467e-06
1.04,25.7393897433736,0.000151879101778718,0.152557078368207,-1.68647846577418e-05,-0.0362277709280281,6.67573156775539e-06
1.06,25.7400982782863,0.000165405089122217,0.154148771634499,-1.86715945809126e-05,-0.0368809386588182,7.36580474762632e-06
1.08,25.7407724194714,0.000179698048537347,0.155534116677222,-2.0585547375713e-05,-0.0375017877252484,8.09343097025544e-06
1.1,25.741411863613,0.000194777055931183,0.156714531306179,-2.26075129090788e-05,-0.0380900178547825,8.85710917010488e-06
1.12,25.7420166691881,0.000210657619662768,0.157695746381284,-2.4739910077636e-05,-0.0386456866784776,9.65746251145111e-06
1.14,25.7425869333275,0.000227353135009878,0.158485975491129,-2.69851209627636e-05,-0.0391689060359459,1.0495182875113e-05
1.16,25.7431227515744,0.000244876205275801,0.159094444422541,-2.93454242765892e-05,-0.0396597969755402,1.13709527192088e-05
1.18,25.743624204502,0.000263239380903002,0.15953003685733,-3.18230798032814e-05,-0.0401184694861349,1.22854778658015e-05
1.2,25.7440913493786,0.000282455379348789,0.159800406811028,-3.44203519363554e-05,-0.0405450093128397,1.32394870256547e-05
1.22,25.7445242200492,0.000302536915841145,0.159911671275721,-3.71395036585013e-05,-0.0409394755639677,1.42337209251355e-05
1.24,25.7449228324923,0.000323484629490167,0.159868588010155,-3.99841803156773e-05,-0.0413019063494603,1.52685272702524e-05
1.26,25.7452872302124,0.000345291279423066,0.159674818867857,-4.2957538487995e-05,-0.0416323612817958,1.63439453070166e-05
1.28,25.7456175220651,0.000367961073422407,0.15933318620201,-4.60613179995393e-05,-0.0419309571524082,1.74604025082715e-05
1.3,25.7459138427478,0.000391503316315323,0.158846125267549,-4.92972189506867e-05,-0.0421978344107428,1.86185375445867e-05
1.32,25.7461763280313,0.0004159300997717,0.158215988881419,-5.26670107728454e-05,-0.0424331362323249,1.98191310546175e-05
1.34,25.7464050952835,0.000441253785833595,0.15744527873725,-5.61723700623615e-05,-0.0426369919740202,2.10630139929781e-05
1.36,25.7466002354156,0.000467484987371591,0.156536777297497,-5.98147801082417e-05,-0.0428095104350284,2.23509923241335e-05
1.38,25.7467618148725,0.000494631723615413,0.15549356517164,-6.35954827944721e-05,-0.0429507815894425,2.36838137480221e-05
1.4,25.746889882554,0.000522699612382382,0.15431893345699,-6.75154818553965e-05,-0.0430608822106961,2.50621730041664e-05
1.42,25.7469844764295,0.000551692555252004,0.15301622780462,-7.15755718005109e-05,-0.043139880854732,2.6486736293892e-05
1.44,25.7470456268248,0.000581613398411562,0.151588677263446,-7.57763666785191e-05,-0.0431878397699847,2.79581656884097e-05
1.46,25.7470733560433,0.000612464291224413,0.15003925903387,-8.01183135553038e-05,-0.0432048137188915,2.94771330289962e-05
1.48,25.7470676758028,0.000644246698209727,0.148370631614132,-8.4601687188498e-05,-0.0431908472286259,3.10443212923285e-05
1.5,25.7470285844468,0.000676961196834469,0.146585142315526,-8.92265657962947e-05,-0.0431459720666245,3.26604179723825e-05
1.52,25.7469560652393,0.000710607219776449,0.144684890107021,-9.39928101145811e-05,-0.0430702060041313,3.43261150564961e-05
1.54,25.7468500861496,0.000745182844676506,0.142671809185536,-9.89000369811204e-05,-0.0429635530330406,3.60420897234377e-05
1.56,25.7467106020296,0.000780684674587917,0.140547744151361,-0.000103947606453659,-0.0428260056982054,3.78089990864486e-05
1.58,25.7465375563409,0.000817107928346772,0.138314493997013,-0.000109134611853131,-0.0426575468415923,3.96274968049815e-05
1.6,25.746330882028,0.000854446335333492,0.135973814992486,-0.000114459896094553,-0.0424581503569151,4.14982256702299e-05
1.62,25.7460905024287,0.000892692101061243,0.133527396160876,-0.000119922032551632,-0.0422277818504561,4.34218145664127e-05
1.64,25.7458163335953,0.000931836113597484,0.13097682755233,-0.000125519370973064,-0.0419664005691065,4.53989646280593e-05
1.66,25.7455082807194,0.000971865601151478,0.128323560711498,-0.000131250273311436,-0.0416739559493082,4.74299651557332e-05
1.68,25.7451662377285,0.00101276519107074,0.125568874321064,-0.000137112618664298,-0.041350387104974,4.95149679948399e-05
1.7,25.7447900895991,0.00105452271441919,0.122713875611973,-0.000143103392354252,-0.0409956249708159,5.16548714089207e-05
1.72,25.744379712552,0.00109712619669011,0.119759506909956,-0.000149219462515124,-0.0406095925486801,5.38505604409068e-05
1.74,25.7439349771542,0.00114055988313844,0.116706575601016,-0.000155457687880428,-0.0401922078995863,5.61025048994602e-05
1.76,25.7434557589389,0.00118480537493681,0.113555817879616,-0.000161814053650861,-0.0397433941001892,5.84105175051353e-05
1.78,25.7429421953588,0.00122984061595233,0.110308905381044,-0.000168283460998811,-0.0392633169459869,6.07735851823841e-05
1.8,25.7423947557206,0.0012755350689897,0.106969710934523,-0.000174862751624581,-0.0387524527470359,6.31758624535763e-05
1.82,25.7418138675521,0.00132177563547842,0.103543353859195,-0.000181538517038587,-0.0382112435024052,6.56075439267579e-05
1.84,25.7412000637977,0.00136861586468129,0.100035597249652,-0.000188300601076553,-0.0376402277823125,6.80785292173683e-05
1.86,25.7405541046677,0.00141560020021991,0.0964532835691396,-0.000195200833930431,-0.0370401524377551,7.05168724024177e-05
1.88,25.7398768381877,0.00146240077197213,0.0928036712148268,-0.000202221611804075,-0.0364118427121899,7.29017951181953e-05
1.9,25.739169472102,0.00150938752525853,0.0890950896637817,-0.000209309183409873,-0.0357564512186429,7.52965475145815e-05
1.92,25.7384333717488,0.00155656793078229,0.0853368652219144,-0.000216470434141892,-0.0350752728631593,7.76862961173134e-05
1.94,25.7376698880478,0.00160390915181985,0.0815383169328712,-0.000223701858146408,-0.034369584645836,8.00657134765734e-05
1.96,25.7368805666562,0.0016514228443274,0.0777097083053597,-0.000230992301978297,-0.0336408383738368,8.24396654507368e-05
1.98,25.7360669924267,0.0016989688462381,0.0738617686723217,-0.000238338421188225,-0.0328905171282749,8.47932513852671e-05
2,25.7352307849736,0.00174644672498481,0.0700051684454217,-0.000245728526450713,-0.0321201295256604,8.71228456807968e-05
2.02,25.7343736732023,0.00179376908920759,0.0661508801930308,-0.0002531519475924,-0.0313312783227181,8.94233552143727e-05
2.04,25.7334974145894,0.00184082616909897,0.0623098785004896,-0.000260599615863054,-0.0305255861022443,9.16859070974443e-05
2.06,25.732603829324,0.00188755754300729,0.0584931378280373,-0.000268060285896786,-0.0297047263489141,9.39080450859202e-05
2.08,25.7316947982207,0.00193389332136462,0.0547117329317608,-0.000275524581161094,-0.0288704218046146,9.60836452547245e-05
2.1,25.7307722331638,0.00197975804580786,0.0509767068404035,-0.000282981667332133,-0.0280244173959101,9.82069537207053e-05
2.12,25.7298380968312,0.00202508423891423,0.0472991682831263,-0.000290419635807315,-0.0271684985150449,0.000100273912622574
2.14,25.7288943816118,0.00206978423442372,0.0436902634881911,-0.000297827183851228,-0.0263044719620035,0.000102277801662914
2.16,25.7279431026935,0.00211376672670305,0.0401611285719898,-0.00030519162815175,-0.0254341598201538,0.000104212513501834
2.18,25.7269862961761,0.00215693733683331,0.0367229901280459,-0.00031249972378036,-0.0245593981751303,0.000106071744977668
2.2,25.7260259967861,0.00219919486609932,0.0333871783580335,-0.000319737993620516,-0.023682017156112,0.000107848404520437
2.22,25.7250642486279,0.00224044276658475,0.0301650597502041,-0.000326892969186631,-0.0228038509769446,0.000109536036454559
2.24,25.7241031301986,0.00228058593761027,0.0270678017590598,-0.000333951960009026,-0.0219267608814693,0.000111127849260574
2.26,25.7231447455871,0.00231953006214702,0.0241060547388101,-0.000340901755145859,-0.0210526274638555,0.000112617213186384
2.28,25.7221912016517,0.00235718205719415,0.02128981880178,-0.000347728013080103,-0.0201833306011174,0.00011399792899704
2.3,25.721244603366,0.00239344484443826,0.0186285162489228,-0.000354415778569752,-0.0193207461197396,0.000115263426775322
2.32,25.7203070581863,0.00242821809314542,0.0161312304526442,-0.000360949995536385,-0.0184667507052001,0.000116406952765857
2.34,25.7193806696547,0.00246140071737067,0.0138068673599161,-0.000367315973313803,-0.01762321685183,0.000117421719869827
2.36,25.7184675225498,0.0024928915277691,0.0116641001436029,-0.000373498921856297,-0.0167919999627531,0.00011830093156799
2.38,25.7175696752612,0.00252258929033466,0.0097112872314904,-0.000379483711103611,-0.0159749320444111,0.000119037805835027
2.4,25.716689153562,0.00255039190501449,0.00795640529964681,-0.000385255086262731,-0.01517381670929,0.000119625457373791
2.42,25.7158279435573,0.00257619596224146,0.00640694622594529,-0.000390797712173938,-0.0143904234363368,0.000120056895970888
2.44,25.714987985444,0.00259989709751274,0.00506982614445928,-0.000396096009973183,-0.0136264825795876,0.000120325119309778
2.46,25.714171164311,0.00262138946814794,0.00395135862686091,-0.000401133983431213,-0.0128836776828289,0.000120423112839696
2.48,25.7133792977774,0.00264056570680538,0.00305728240950165,-0.000405895299144653,-0.0121636348795682,0.000120343854123595
2.5,25.7126141297522,0.00265731731655272,0.00239280764008365,-0.00041036357703569,-0.0114679177981383,0.000120080269403103
2.52,25.7118773347751,0.00267153519492069,0.00196263009159026,-0.000414522674060782,-0.0107980320209858,0.000119625170049873
2.54,25.7111705195907,0.00268311021257439,0.00177090461770124,-0.000418356335080284,-0.0101554269681482,0.000118971390466252
2.56,25.7104952150163,0.00269193336658446,0.00182122205549851,-0.000421847960965806,-0.00954148889697197,0.000118111943920598
2.58,25.7098528699656,0.00269789647130025,0.0021165787840971,-0.000424980830293986,-0.00895753579645914,0.000117040105996303
2.6,25.7092448457977,0.00270089237113602,0.00265935035141096,-0.000427738001699465,-0.00840481250334292,0.000115749422134431
2.62,25.7086724101247,0.00270081394202215,0.00345130721994202,-0.000430102667513275,-0.00788448525089749,0.000114233467747169
2.64,25.7081367375071,0.00269755421638962,0.00449361193589448,-0.000432058182067774,-0.00739764239868735,0.000112485851924752
2.66,25.7076389065269,0.00269100720358928,0.005786803421997,-0.000433588050892603,-0.00694529178624404,0.000110500448127024
2.68,25.7071799002641,0.00268106805702928,0.00733078715132507,-0.000434676170147974,-0.00652836109441795,0.000108271244969171
