      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05
    0.0200       1.3196427e+05       1.3196428e+05       1.3196426e+05       1.3196428e+05       1.3196425e+05       1.3196426e+05       1.3196426e+05       1.3196427e+05       1.3196428e+05       1.3196428e+05       1.3196426e+05       1.3196426e+05
    0.0400       1.3184646e+05       1.3184656e+05       1.3192430e+05       1.3186208e+05       1.3192418e+05       1.3186200e+05       1.3189217e+05       1.3189224e+05       1.3190391e+05       1.3191359e+05       1.3190382e+05       1.3191351e+05
    0.0600       1.3145467e+05       1.3145497e+05       1.3177980e+05       1.3151706e+05       1.3177947e+05       1.3151688e+05       1.3164411e+05       1.3164430e+05       1.3169878e+05       1.3174433e+05       1.3169859e+05       1.3174412e+05
    0.0800       1.3079811e+05       1.3079873e+05       1.3148062e+05       1.3092209e+05       1.3148001e+05       1.3092175e+05       1.3119262e+05       1.3119299e+05       1.3132250e+05       1.3143224e+05       1.3132218e+05       1.3143184e+05
    0.1000       1.2994394e+05       1.2994499e+05       1.3101115e+05       1.3012731e+05       1.3101019e+05       1.3012678e+05       1.3055762e+05       1.3055828e+05       1.3078500e+05       1.3098050e+05       1.3078450e+05       1.3097984e+05
    0.1200       1.2877055e+05       1.2877215e+05       1.3038004e+05       1.2904422e+05       1.3037869e+05       1.2904348e+05       1.2969963e+05       1.2970068e+05       1.3005260e+05       1.3036134e+05       1.3005192e+05       1.3036040e+05
    0.1400       1.2739468e+05       1.2739695e+05       1.2960555e+05       1.2776823e+05       1.2960378e+05       1.2776727e+05       1.2867590e+05       1.2867740e+05       1.2917125e+05       1.2961082e+05       1.2917040e+05       1.2960956e+05
    0.1600       1.2582536e+05       1.2582838e+05       1.2872094e+05       1.2631559e+05       1.2871873e+05       1.2631440e+05       1.2750988e+05       1.2751193e+05       1.2816265e+05       1.2874790e+05       1.2816162e+05       1.2874630e+05
    0.1800       1.2405700e+05       1.2406086e+05       1.2775069e+05       1.2468682e+05       1.2774800e+05       1.2468540e+05       1.2621155e+05       1.2621419e+05       1.2703977e+05       1.2778624e+05       1.2703857e+05       1.2778430e+05
    0.2000       1.2215870e+05       1.2216346e+05       1.2671136e+05       1.2293776e+05       1.2670816e+05       1.2293607e+05       1.2481556e+05       1.2481884e+05       1.2583449e+05       1.2675366e+05       1.2583309e+05       1.2675135e+05
    0.2200       1.2011084e+05       1.2011657e+05       1.2561223e+05       1.2105466e+05       1.2560846e+05       1.2105269e+05       1.2331807e+05       1.2332202e+05       1.2454655e+05       1.2565194e+05       1.2454494e+05       1.2564924e+05
    0.2400       1.1791841e+05       1.1792516e+05       1.2445060e+05       1.1904020e+05       1.2444621e+05       1.1903789e+05       1.2171834e+05       1.2172299e+05       1.2317635e+05       1.2448199e+05       1.2317449e+05       1.2447886e+05
    0.2600       1.1559244e+05       1.1560026e+05       1.2322039e+05       1.1690175e+05       1.2321533e+05       1.1689907e+05       1.2001729e+05       1.2002269e+05       1.2172366e+05       1.2324276e+05       1.2172153e+05       1.2323916e+05
    0.2800       1.1311103e+05       1.1312000e+05       1.2191429e+05       1.1462133e+05       1.2190851e+05       1.1461824e+05       1.1820232e+05       1.1820851e+05       1.2017666e+05       1.2192341e+05       1.2017423e+05       1.2191930e+05
    0.3000       1.1048055e+05       1.1049070e+05       1.2052573e+05       1.1220298e+05       1.2051920e+05       1.1219945e+05       1.1627241e+05       1.1627942e+05       1.1853272e+05       1.2052017e+05       1.1852999e+05       1.2051553e+05
    0.3200       1.0770257e+05       1.0771398e+05       1.1905316e+05       1.0964827e+05       1.1904587e+05       1.0964428e+05       1.1422731e+05       1.1423520e+05       1.1679055e+05       1.1903062e+05       1.1678749e+05       1.1902543e+05
    0.3400       1.0477722e+05       1.0478993e+05       1.1749873e+05       1.0695807e+05       1.1749066e+05       1.0695361e+05       1.1206765e+05       1.1207647e+05       1.1495058e+05       1.1745445e+05       1.1494721e+05       1.1744871e+05
    0.3600       1.0171983e+05       1.0173389e+05       1.1586792e+05       1.0414561e+05       1.1585907e+05       1.0414065e+05       1.0980182e+05       1.0981161e+05       1.1302038e+05       1.1579765e+05       1.1301670e+05       1.1579136e+05
    0.3800       9.8539619e+04       9.8555076e+04       1.1416863e+05       1.0121969e+05       1.1415900e+05       1.0121423e+05       1.0743694e+05       1.0744774e+05       1.1100708e+05       1.1406636e+05       1.1100309e+05       1.1405952e+05
    0.4000       9.5248344e+04       9.5265227e+04       1.1240874e+05       9.8191007e+04       1.1239834e+05       9.8185021e+04       1.0498117e+05       1.0499301e+05       1.0891880e+05       1.1226776e+05       1.0891449e+05       1.1226036e+05
    0.4200       9.1859735e+04       9.1878071e+04       1.1059544e+05       9.5071686e+04       1.1058427e+05       9.5065159e+04       1.0244334e+05       1.0245624e+05       1.0676395e+05       1.1040921e+05       1.0675934e+05       1.1040126e+05
    0.4400       8.8382033e+04       8.8401841e+04       1.0873445e+05       9.1869328e+04       1.0872251e+05       9.1862239e+04       9.9829410e+04       9.9843394e+04       1.0454829e+05       1.0849572e+05       1.0454336e+05       1.0848721e+05
    0.4600       8.4824511e+04       8.4845804e+04       1.0682981e+05       8.8592046e+04       1.0681711e+05       8.8584376e+04       9.7144942e+04       9.7160031e+04       1.0227683e+05       1.0653143e+05       1.0227159e+05       1.0652238e+05
    0.4800       8.1194952e+04       8.1217739e+04       1.0488453e+05       8.5246677e+04       1.0487108e+05       8.5238408e+04       9.4394427e+04       9.4410638e+04       9.9953438e+04       1.0451931e+05       9.9947892e+04       1.0450971e+05
    0.5000       7.7499514e+04       7.7523797e+04       1.0290106e+05       8.1838664e+04       1.0288688e+05       8.1829781e+04       9.1581300e+04       9.1598648e+04       9.7581008e+04       1.0246135e+05       9.7575157e+04       1.0245121e+05
    0.5200       7.3745841e+04       7.3771622e+04       1.0088185e+05       7.8374591e+04       1.0086697e+05       7.8365083e+04       8.8709562e+04       8.8728060e+04       9.5162910e+04       1.0035993e+05       9.5156763e+04       1.0034927e+05
    0.5400       6.9941386e+04       6.9968658e+04       9.8829896e+04       7.4860949e+04       9.8814344e+04       7.4850809e+04       8.5783363e+04       8.5803021e+04       9.2702751e+04       9.8217655e+04       9.2696320e+04       9.8206501e+04
    0.5600       6.6094329e+04       6.6123084e+04       9.6748853e+04       7.1304869e+04       9.6732669e+04       7.1294091e+04       8.2807465e+04       8.2828292e+04       9.0204787e+04       9.6037787e+04       9.0198085e+04       9.6026156e+04
    0.5800       6.2213969e+04       6.2244192e+04       9.4643019e+04       6.7714455e+04       9.4626246e+04       6.7703037e+04       7.9787483e+04       7.9809483e+04       8.7674095e+04       9.3824372e+04       8.7667139e+04       9.3812290e+04
    0.6000       5.8309623e+04       5.8341293e+04       9.2517164e+04       6.4097894e+04       9.2499849e+04       6.4085837e+04       7.6729337e+04       7.6752513e+04       8.5116071e+04       9.1581831e+04       8.5108878e+04       9.1569327e+04
    0.6200       5.4390990e+04       5.4424082e+04       9.0376233e+04       6.0463702e+04       9.0358427e+04       6.0451008e+04       7.3639280e+04       7.3663631e+04       8.2536401e+04       8.9314881e+04       8.2528990e+04       8.9301986e+04
    0.6400       5.0467725e+04       5.0502208e+04       8.8225126e+04       5.6820356e+04       8.8206883e+04       5.6807029e+04       7.0523606e+04       7.0549127e+04       7.9940765e+04       8.7028258e+04       7.9933157e+04       8.7015006e+04
    0.6600       4.6549057e+04       4.6584895e+04       8.6068524e+04       5.3175956e+04       8.6049901e+04       5.3162002e+04       6.7388366e+04       6.7415048e+04       7.7334587e+04       8.4726475e+04       7.7326801e+04       8.4712900e+04
