time,pos_surge,vel_surge,acc_surge,pos_sway,vel_sway,acc_sway,pos_heave,vel_heave,acc_heave,pos_roll,vel_roll,acc_roll,pos_pitch,vel_pitch,acc_pitch,pos_yaw,vel_yaw,acc_yaw
0,25.7,0,-1.72096366661856e-05,3.55260525858325e-15,0,-4.58376788899704e-09,4.1,0,-0.0709585734478377,-6.7762635780344e-21,0,-2.77949618325893e-05,5.42101086242752e-20,0,-2.78510552742273e-06,-5.55111479225354e-17,0,-1.79445556533586e-10
0.02,25.6999999945661,-5.92634044329554e-07,0.0786123589036541,3.24212007216114e-09,4.05287589206304e-07,2.49070687313831e-05,4.09997904471049,-0.00226451896877223,-0.804134031808052,-5.71404411983532e-09,-5.75260467337213e-07,-2.7415585257502e-05,-8.10049782271617e-10,-8.7207361201314e-08,-0.010429315082413,-1.72979384319974e-12,-2.15319497427065e-10,-8.53241311386049e-07
0.04,25.7000264630331,0.00300597750890262,0.186187745644088,2.05275669968171e-08,1.46316680324764e-06,6.72568375231272e-05,4.09966601367416,-0.0326012600714438,-1.87251432617064,-2.53332896207457e-08,-1.4743124749259e-06,-5.35841247587376e-05,-3.41694070437107e-06,-0.000385797045566196,-0.0236990370837673,-4.50985293087675e-10,-5.38583533161423e-08,-3.59234096806085e-06
0.06,25.7001293666682,0.00752890975544333,0.259545194214717,7.21234573752993e-08,4.01575842511645e-06,0.000163718483490949,4.09855542939151,-0.0818511905434408,-2.88950459902018,-6.76702334120873e-08,-2.84505007144907e-06,-7.90678872374025e-05,-1.66795880399726e-05,-0.000974725167595915,-0.0339343742729718,-2.52457119301133e-09,-1.64347772459479e-07,-6.82533428543582e-06
0.08,25.7003320663877,0.0128186202121003,0.28274603190258,1.96163368569545e-07,8.81916233059334e-06,0.000293879128032397,4.09629682617901,-0.146325602964256,-3.58233335223868,-1.41781867626451e-07,-4.63418388125431e-06,-9.91853557800973e-05,-4.31409735809494e-05,-0.00168679132902712,-0.0384767308974056,-7.37248001328113e-09,-3.2983530218073e-07,-9.56243133846802e-06
0.1,25.7006417754392,0.0180932676479605,0.264874334526337,4.40592461313529e-07,1.60370494631773e-05,0.000419053966180775,4.09265241040995,-0.21897895382384,-3.83831575487134,-2.54700032112292e-07,-6.69295681246572e-06,-0.00010936228755042,-8.42825931019716e-05,-0.0024249587298036,-0.0376613565050532,-1.59171540895088e-08,-5.29590678804246e-07,-1.0811738570206e-05
0.12,25.7010526027674,0.0228698194019857,0.228785996485364,8.4920974031846e-07,2.50812617266992e-05,0.000497343959187155,4.08753563808345,-0.292232789072783,-3.69484969559695,-4.09929431706761e-07,-8.83021722229075e-06,-0.000108929165743014,-0.000139821863495132,-0.00311576946109599,-0.0335787230240244,-2.8546970159415e-08,-7.33684414552425e-07,-1.03482578101196e-05
0.14,25.7015528920407,0.0270506833195256,0.196003118699447,1.4476952105632e-06,3.47836481070158e-05,0.000503670628522648,4.08099791501627,-0.360205863457151,-3.29029472817293,-6.07213631421483e-07,-1.08700209466801e-05,-9.98821447888511e-05,-0.00020839592703613,-0.00372579516001657,-0.0286839696970045,-4.50619351109759e-08,-9.15600363696626e-07,-8.61756922738713e-06
0.16,25.7021321327493,0.0308163328215201,0.178600428844108,2.2359164208641e-06,4.3820002024525e-05,0.000439646423952177,4.07318064870676,-0.419898777462682,-2.79871784636661,-8.43276149348951e-07,-1.26923711143478e-05,-8.60333701119509e-05,-0.000288363252038767,-0.00425847284203818,-0.0247842504312961,-6.4842526895902e-08,-1.06124740170681e-06,-6.45332822915725e-06
0.18,25.7027847804517,0.0344466012907677,0.177753497046935,3.1895398001784e-06,5.11762553891145e-05,0.000331394568458576,4.06425512631481,-0.471246584605205,-2.3712039286654,-1.11318005515941e-06,-1.42528303060303e-05,-7.16881465711235e-05,-0.000378399472931698,-0.0047385847117039,-0.0226351190234105,-8.7135682978894e-08,-1.17120159496669e-06,-4.64933055036725e-06
0.2,25.7035105845346,0.0381665495069426,0.187249397476813,4.26978205715642e-06,5.64636200602198e-05,0.000217782476215391,4.05437052988156,-0.516325124126838,-2.09902615672101,-1.41184137742458e-06,-1.55786059855249e-05,-6.0364385586308e-05,-0.00047774766241975,-0.00519500035313479,-0.0220715877175078,-1.113184235343e-07,-1.25670609850993e-06,-3.6574331521375e-06
0.22,25.7043125564217,0.0420700784890681,0.198737988537859,5.43704805484996e-06,5.99806752514536e-05,0.000134933968700533,4.04362266855195,-0.55816303066146,-2.0034476686299,-1.73525705551074e-06,-1.67453276168636e-05,-5.4011131095302e-05,-0.000586166455401265,-0.00564870606903762,-0.0224103150040921,-1.37042885382307e-07,-1.33258930468085e-06,-3.5030869687283e-06
0.24,25.7051942680586,0.0461262086138569,0.205908770234983,6.66320402234455e-06,6.25246228136502e-05,0.000103847340269533,4.03204680704115,-0.599594860926388,-2.04836463664519,-2.08116551439129e-06,-1.78454318316107e-05,-5.27527404613162e-05,-0.000703708729490365,-0.00610785981447392,-0.0228866037550506,-1.64238881566579e-07,-1.41078601309208e-06,-3.89365803596133e-06
0.26,25.7061578388774,0.050233679022724,0.206351694241561,7.93838136398406e-06,6.50574990606847e-05,0.000125347479340752,4.01963020999136,-0.64248092221686,-2.16614192248848,-2.44906984185254e-06,-1.89579472240323e-05,-5.52074457448279e-05,-0.000830470650210813,-0.00656936174500211,-0.0229556198317615,-1.9301311068291e-07,-1.49678994927204e-06,-4.42097118265916e-06
0.28,25.7072031872947,0.0542853760067878,0.201189783866432,9.27080209016533e-06,6.83689553518839e-05,0.000182993562399879,4.00633544706576,-0.687418695108934,-2.28559035964573,-2.83974273857141e-06,-2.01281360878226e-05,-5.92043781330048e-05,-0.000966412249929089,-0.00702379454937505,-0.0223985490246081,-2.23512663235769e-07,-1.58953935497905e-06,-4.74792209487193e-06
0.3,25.7083284191588,0.0582133725844974,0.19339902771184,1.06808074549043e-05,7.28520721974739e-05,0.000251585846992892,3.99212484542304,-0.733894581918919,-2.35346943256549,-3.25446333894199e-06,-2.13613537163233e-05,-6.25654469570131e-05,-0.00111128461526278,-0.00746060333614665,-0.0212760624977847,-2.55813919910149e-07,-1.68373710878169e-06,-4.70916625162538e-06
0.32,25.7095308069473,0.0620023149695847,0.185978681690106,1.21920722256712e-05,7.84511501733107e-05,0.000307135286873784,3.97697873941505,-0.780716137229286,-2.34495517874784,-3.69426376950247e-06,-2.26296512122578e-05,-6.37466908016618e-05,-0.00126464829077715,-0.00787179832587447,-0.01980120937375,-2.8986932388719e-07,-1.77294699925793e-06,-4.31562352785079e-06
0.34,25.7108077606737,0.0656773394820278,0.180739366680846,1.3823420459129e-05,8.47663431432681e-05,0.000334505284546583,3.96090393579905,-0.826521176339827,-2.26301505847109,-4.15940199152798e-06,-2.38867232119001e-05,-6.21573281300952e-05,-0.00142594276479597,-0.00825333393130728,-0.0182077970701632,-3.25512467877363e-07,-1.85208229799174e-06,-3.69213585752975e-06
0.36,25.7121574056683,0.0692797968545162,0.177973937070307,1.55837902319124e-05,9.12488390794089e-05,0.000330565682948066,3.94393264474104,-0.870195814608654,-2.12992518456192,-4.64916671088302e-06,-2.50849932459194e-05,-5.81162457361442e-05,-0.00159456332866362,-0.00860461245059651,-0.0166638442283826,-3.6250046556204e-07,-1.91858455729046e-06,-2.99450648184833e-06
0.38,25.7135786656711,0.0728444010862693,0.176847758599319,1.74713357031532e-05,9.74039972487136e-05,0.000302679086869202,3.92611480288836,-0.911106547816319,-1.9755217527802,-5.16199696933786e-06,-2.61891154158429e-05,-5.25547332865759e-05,-0.0017699167989273,-0.00892706498316334,-0.0152410568868039,-4.00566105536557e-07,-1.97231384259332e-06,-2.34457995233127e-06
0.4,25.7150709810472,0.076386679248035,0.17610001942396,1.94760849628169e-05,0.000102933306715454,0.00026404839426772,3.90750781783817,-0.949129414717206,-1.82651398603295,-5.69580892278821e-06,-2.71827963289131e-05,-4.66020745963788e-05,-0.0019514461117619,-0.00922260026285136,-0.0139298919506229,-4.39458323254365e-07,-2.01465328926185e-06,-1.80058057273344e-06
0.42,25.7166338945289,0.0799020390559227,0.174676269254631,2.15845253230876e-05,0.000107782236793079,0.000228179844650453,3.88816740327924,-0.98452469471648,-1.69968658065155,-6.24838612309059e-06,-2.80684479786099e-05,-4.12093352792251e-05,-0.00213862806795286,-0.00949254861984888,-0.0126765476348133,-4.78961392496651e-07,-2.04742725323672e-06,-1.36109302805237e-06
0.44,25.7182667091481,0.0833729364345976,0.172066480188964,2.37842225121018e-05,0.000112099621332675,0.000204511164548467,3.86814182745778,-1.01773684602926,-1.5999004344861,-6.81770464624701e-06,-2.8861504134805e-05,-3.69068222873361e-05,-0.00233095637874579,-0.0097372480210749,-0.0114189767544559,-5.18894292915602e-07,-2.07208639564066e-06,-9.8863482700074e-07
0.46,25.7199683261924,0.0867786176370438,0.168322911080726,2.60670000507077e-05,0.00011614204109966,0.000196383256017534,3.84747025102551,-1.04919912710063,-1.52212618976725,-7.40211327659137e-06,-2.9582223203685e-05,-3.37415222439842e-05,-0.00252792170419622,-0.00995610912548896,-0.0101113452231849,-5.5909818364719e-07,-2.08934112442199e-06,-6.36227406955384e-07
0.48,25.7217372662947,0.0901029683608749,0.163867686735094,2.84300152083556e-05,0.000120167282598018,0.000201421669039323,3.82618444874735,-1.07919829147735,-1.45573437062689,-8.00034910414788e-06,-3.02479441743331e-05,-3.14023665984358e-05,-0.00272899651092275,-0.0101479864614282,-0.00873453837341339,-5.99420865090628e-07,-2.0991751452462e-06,-2.6675684926131e-07
