      Time            FairTen1            FairTen2            FairTen3            FairTen4            FairTen5            FairTen6            FairTen7            FairTen8            FairTen9           FairTen10           FairTen11           FairTen12
    0.0000       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05       1.3196782e+05
    0.0200       1.3196427e+05       1.3196428e+05       1.3196426e+05       1.3196428e+05       1.3196425e+05       1.3196427e+05       1.3196426e+05       1.3196428e+05       1.3196427e+05       1.3196427e+05       1.3196426e+05       1.3196426e+05
    0.0400       1.3187203e+05       1.3187212e+05       1.3191794e+05       1.3187262e+05       1.3191787e+05       1.3187257e+05       1.3189622e+05       1.3189629e+05       1.3190310e+05       1.3191016e+05       1.3190304e+05       1.3191010e+05
    0.0600       1.3156266e+05       1.3156292e+05       1.3175401e+05       1.3156253e+05       1.3175382e+05       1.3156244e+05       1.3166305e+05       1.3166323e+05       1.3169500e+05       1.3172821e+05       1.3169488e+05       1.3172808e+05
    0.0800       1.3102797e+05       1.3102851e+05       1.3142858e+05       1.3102141e+05       1.3142825e+05       1.3102127e+05       1.3123777e+05       1.3123814e+05       1.3131340e+05       1.3139342e+05       1.3131323e+05       1.3139318e+05
    0.1000       1.3030881e+05       1.3030973e+05       1.3093353e+05       1.3028900e+05       1.3093305e+05       1.3028881e+05       1.3063697e+05       1.3063763e+05       1.3076876e+05       1.3091133e+05       1.3076852e+05       1.3091097e+05
    0.1200       1.2932348e+05       1.2932489e+05       1.3026551e+05       1.2929102e+05       1.3026490e+05       1.2929081e+05       1.2982327e+05       1.2982430e+05       1.3002690e+05       1.3025209e+05       1.3002662e+05       1.3025160e+05
    0.1400       1.2815698e+05       1.2815899e+05       1.2945110e+05       1.2811020e+05       1.2945039e+05       1.2811001e+05       1.2884991e+05       1.2885141e+05       1.2913454e+05       1.2945523e+05       1.2913427e+05       1.2945463e+05
    0.1600       1.2682477e+05       1.2682746e+05       1.2852063e+05       1.2676434e+05       1.2851984e+05       1.2676420e+05       1.2773962e+05       1.2774165e+05       1.2811359e+05       1.2854067e+05       1.2811333e+05       1.2853998e+05
    0.1800       1.2533004e+05       1.2533348e+05       1.2749536e+05       1.2525708e+05       1.2749449e+05       1.2525701e+05       1.2650320e+05       1.2650581e+05       1.2697689e+05       1.2752181e+05       1.2697669e+05       1.2752103e+05
    0.2000       1.2372536e+05       1.2372961e+05       1.2639635e+05       1.2363800e+05       1.2639538e+05       1.2363798e+05       1.2517413e+05       1.2517738e+05       1.2575664e+05       1.2642788e+05       1.2575647e+05       1.2642701e+05
    0.2200       1.2199982e+05       1.2200494e+05       1.2523007e+05       1.2189661e+05       1.2522898e+05       1.2189665e+05       1.2374970e+05       1.2375362e+05       1.2445234e+05       1.2525992e+05       1.2445222e+05       1.2525894e+05
    0.2400       1.2015600e+05       1.2016204e+05       1.2399457e+05       1.2003471e+05       1.2399333e+05       1.2003478e+05       1.2222948e+05       1.2223410e+05       1.2306431e+05       1.2401860e+05       1.2306419e+05       1.2401749e+05
    0.2600       1.1819957e+05       1.1820658e+05       1.2268542e+05       1.1805755e+05       1.2268400e+05       1.1805761e+05       1.2061398e+05       1.2061935e+05       1.2159232e+05       1.2270316e+05       1.2159220e+05       1.2270190e+05
    0.2800       1.1611275e+05       1.1612077e+05       1.2129396e+05       1.1594847e+05       1.2129233e+05       1.1594851e+05       1.1889088e+05       1.1889703e+05       1.2002441e+05       1.2130237e+05       1.2002428e+05       1.2130093e+05
    0.3000       1.1389757e+05       1.1390667e+05       1.1981477e+05       1.1370960e+05       1.1981292e+05       1.1370962e+05       1.1705857e+05       1.1706555e+05       1.1835800e+05       1.1981283e+05       1.1835785e+05       1.1981120e+05
    0.3200       1.1155421e+05       1.1156444e+05       1.1824640e+05       1.1134161e+05       1.1824435e+05       1.1134160e+05       1.1511639e+05       1.1512425e+05       1.1659181e+05       1.1823250e+05       1.1659165e+05       1.1823068e+05
    0.3400       1.0908281e+05       1.0909422e+05       1.1659058e+05       1.0884508e+05       1.1658833e+05       1.0884504e+05       1.1306481e+05       1.1307360e+05       1.1472629e+05       1.1656129e+05       1.1472613e+05       1.1655929e+05
