time,pos_surge,vel_surge,acc_surge,pos_sway,vel_sway,acc_sway,pos_heave,vel_heave,acc_heave,pos_roll,vel_roll,acc_roll,pos_pitch,vel_pitch,acc_pitch,pos_yaw,vel_yaw,acc_yaw
0,25.7,0,-1.69859673026179e-05,2.16840434497101e-19,0,-5.8051304115701e-09,4.1,0,-0.0724047440746918,-4.06575814682064e-20,0,-2.74883993690042e-05,-1.35525271560688e-20,0,-2.835423988832e-06,-4.96308367531817e-24,0,-2.6956963737708e-10
0.02,25.6999999944382,-6.09976688095065e-07,0.0568155734438657,3.40693853643592e-09,4.25904026640041e-07,2.59795475663816e-05,4.09997844585292,-0.00233209741965623,-0.85903229543009,-5.66572035996528e-09,-5.70754064286831e-07,-2.75374535756002e-05,-8.21702484251976e-10,-8.8425837134712e-08,-0.00774417211566494,-1.96254714399033e-12,-2.43925577935562e-10,-6.58946620126529e-07
0.04,25.7000195225506,0.0022259201861442,0.138574662896149,2.19315695048882e-08,1.58726972428893e-06,7.44469725526884e-05,4.09964308041051,-0.0350998563167528,-2.02718110410492,-2.55426266471681e-08,-1.51544890183507e-06,-5.70019475672765e-05,-2.5575799160984e-06,-0.00028911095754793,-0.0177944248609808,-3.72104453101885e-10,-4.45510345021374e-08,-2.98830397200074e-06
0.06,25.7000956871163,0.00556689004360278,0.1914669091037,7.92246692049511e-08,4.52445156645966e-06,0.000189625036159828,4.09844038131463,-0.0889924085504363,-3.1724800134577,-6.97568278439665e-08,-3.00589039038368e-06,-8.68262977859259e-05,-1.25365508978238e-05,-0.000735617244587929,-0.0258165182506752,-2.10328715645066e-09,-1.37989482017887e-07,-5.79598939062304e-06
0.08,25.7002451450534,0.0094251113235629,0.205260644781907,2.20971073214471e-07,1.0172029302359e-05,0.000346760365864239,4.09597228537487,-0.160567787958616,-3.99518135166673,-1.49008409392984e-07,-5.00304759124007e-06,-0.000111746694966092,-3.25887408269254e-05,-0.00128273185910063,-0.0297076137133096,-6.20412085093538e-09,-2.80609227528436e-07,-8.28126328883404e-06
0.1,25.7004720099109,0.0132053525039803,0.188315932015719,5.05136697869083e-07,1.87493772344594e-05,0.000498940241582711,4.09195385367492,-0.242479703052235,-4.35301589985197,-2.72077356676028e-07,-7.35213732937652e-06,-0.000125943185140925,-6.39981651488657e-05,-0.00185778730017442,-0.0295167035727149,-1.35181355249871e-08,-4.55605527923338e-07,-9.5220110834851e-06
0.12,25.7007706882395,0.0165668389585185,0.15945200804334,9.85092698002089e-07,2.95659083406767e-05,0.00059556767485864,4.08626254764705,-0.326355378622143,-4.25978108087856,-4.43891217343225e-07,-9.83653112766262e-06,-0.000127779959957679,-0.000106693627498951,-0.0024024597416203,-0.0266402953102278,-2.44385638890509e-08,-6.37148164438259e-07,-9.26180698858139e-06
0.14,25.7011318946933,0.0194741740861542,0.135342090584665,1.69271663002632e-06,4.1229617502938e-05,0.000606192497026126,4.07893307281174,-0.40522249607689,-3.84350713126912,-6.64963504578056e-07,-1.2242084347742e-05,-0.000118788459714354,-0.000159707333787307,-0.002886646300849,-0.0228592037972547,-3.88385608092976e-08,-8.0112317221468e-07,-7.81833717270355e-06
0.16,25.701547969505,0.0220979538369024,0.12448424070594,2.62898914351591e-06,5.21478321835453e-05,0.000531905576397481,4.0701126153558,-0.474979243244118,-3.28425108960189,-9.31987316338573e-07,-1.44090946864435e-05,-0.000102956255731823,-0.000221760763797429,-0.00330819500582832,-0.0195931731405948,-5.61952065676089e-08,-9.33331988530332e-07,-5.87994948495015e-06
0.18,25.7020155295735,0.0246658661706416,0.126555580184251,3.76555872959107e-06,6.10762246286417e-05,0.000402653710456208,4.05999806687988,-0.534727459464871,-2.75317287680029,-1.23927591354822e-06,-1.62626888138869e-05,-8.52972003809021e-05,-0.000291736835348951,-0.00368304494273163,-0.0175534644948735,-7.58272975314312e-08,-1.03214981497611e-06,-4.14359801277997e-06
0.2,25.7025353013399,0.0273428509165087,0.135715031297331,5.05591393337684e-06,6.74934517132364e-05,0.000263561256272647,4.04877653759376,-0.586168906605027,-2.36915690706842,-1.58054029593171e-06,-1.78159149212383e-05,-7.03283201636786e-05,-0.000368918281203448,-0.00403295141752572,-0.0167696223429612,-9.71289249802894e-08,-1.10581818167184e-06,-3.04961339659516e-06
0.22,25.7031102065845,0.0301797730038476,0.145020886785884,6.45125248262033e-06,7.16834013919037e-05,0.00015721104455554,4.03658415393366,-0.632464363195831,-2.18014559191402,-1.95047251833041e-06,-1.91484429535354e-05,-6.095370924993e-05,-0.000453000495933552,-0.00437597596677222,-0.0168310367748481,-1.19713312359448e-07,-1.16679940820843e-06,-2.68719226640584e-06
0.24,25.7037431225132,0.0331286287534387,0.149716229545779,7.91501662939896e-06,7.45308588349474e-05,0.000109429449674746,4.02348951347771,-0.676986703682159,-2.16831039393541,-2.34574195727365e-06,-2.03712353949193e-05,-5.7947236262471e-05,-0.000543958589891599,-0.00472155536365936,-0.0171865401881763,-1.43438571936019e-07,-1.22620301702002e-06,-2.86218191087733e-06
