time,relative_surge,relative_sway,relative_heave,relative_roll,relative_pitch,relative_yaw
0.58,25.7172353611228,-1.31552691566839e-05,0.0748052713968375,3.46475529677382e-06,-0.0157680678159999,-1.37617207158319e-06
0.6,25.7182686394458,-1.36796899106173e-05,0.07902647845542,3.63360118446139e-06,-0.016719009855271,-1.41531585751785e-06
0.62,25.7193104764007,-1.41722922020193e-05,0.0832466018661795,3.79836749882964e-06,-0.0176783745525714,-1.44888875878561e-06
0.64,25.7203586250644,-1.46294451734974e-05,0.0874537833841886,3.95830461416266e-06,-0.0186440829676379,-1.47645820143281e-06
0.66,25.7214108441811,-1.50476522851051e-05,0.0916363201663484,4.11267874124233e-06,-0.0196140546797948,-1.49761130716609e-06
0.68,25.7224649027187,-1.54235796134827e-05,0.0957826678956302,4.26077379600763e-06,-0.0205862121145281,-1.51195434171837e-06
0.7,25.7235185843669,-1.57540630407738e-05,0.0998814317999384,4.40189224144601e-06,-0.0215584848253587,-1.51911290140895e-06
0.72,25.7245696918267,-1.60360996712683e-05,0.103921359460602,4.53535516945789e-06,-0.0225288136274884,-1.51873282354443e-06
0.74,25.7256160510731,-1.62668321266324e-05,0.107891344973234,4.66050219920254e-06,-0.0234951547887935,-1.5104816983927e-06
0.76,25.726655515288,-1.64435329192969e-05,0.111780447413384,4.77669176630625e-06,-0.0244554840209593,-1.49405053159395e-06
0.78,25.7276859687131,-1.65635945901244e-05,0.115577921907428,4.88330184366209e-06,-0.0254078005044166,-1.46915528986425e-06
0.8,25.7287053303912,-1.6624528329956e-05,0.119273258131915,4.97973122898844e-06,-0.0263501309045949,-1.43553811163765e-06
0.82,25.7297115577172,-1.66239704260107e-05,0.122856220317273,5.06540116132488e-06,-0.0272805332827516,-1.39296801688177e-06
0.84,25.7307026499229,-1.65596942913737e-05,0.126316883777692,5.13975707071731e-06,-0.0281971009894505,-1.34124117332936e-06
0.86,25.7316766513478,-1.64296243436723e-05,0.129645665292952,5.2022702570103e-06,-0.0290979663832629,-1.28018078568348e-06
0.88,25.7326316545494,-1.62318485870117e-05,0.132833346950681,5.25243929206743e-06,-0.0299813044094812,-1.2096367543604e-06
0.9,25.7335658032107,-1.5964627799292e-05,0.135871095031877,5.28979113437813e-06,-0.0308453359970626,-1.12948522619678e-06
0.92,25.7344772949048,-1.56264005521933e-05,0.138750476354656,5.31388200034868e-06,-0.0316883313278846,-1.03962816841824e-06
0.94,25.7353643837708,-1.52157845985101e-05,0.14146347442498,5.32429806127802e-06,-0.0325086130343798,-9.39992999609308e-07
0.96,25.7362253830922,-1.47315757619282e-05,0.144002507255413,5.32065607506121e-06,-0.0333045593171673,-8.30532299411589e-07
0.98,25.7370586678715,-1.4172745897767e-05,0.146360447689478,5.30260408767336e-06,-0.0340746070698471,-7.11223566395609e-07
1,25.7378626774403,-1.35384409407635e-05,0.14853064645505,5.26982226975713e-06,-0.0348172550410878,-5.82068970450255e-07
1.02,25.7386359182676,-1.28279793365493e-05,0.15050695804907,5.22202397635374e-06,-0.0355310671773989,-4.43095034294892e-07
1.04,25.7393769672642,-1.20408504820091e-05,0.152283770162001,5.15895722930566e-06,-0.0362146764154141,-2.94352114666711e-07
1.06,25.7400845133947,-1.1171479712857e-05,0.153856211686673,5.08102711294328e-06,-0.036866824265892,-1.35129899493484e-07
1.08,25.7407576090867,-1.02125127039443e-05,0.155221467903031,4.99116740047214e-06,-0.0374865973462842,3.23132694337147e-08
1.1,25.7413959475839,-9.16579648091442e-06,0.156380937314172,4.89208613378488e-06,-0.0380736924471671,2.0461136109798e-07
1.12,25.7419995851785,-8.03437044716304e-06,0.157340336463321,4.78423776548792e-06,-0.0386281654082724,3.81383692671765e-07
1.14,25.7425686169769,-6.82117965133955e-06,0.158107869226778,4.66790206592082e-06,-0.0391501264338727,5.62435212743733e-07
1.16,25.7431031365181,-5.52848787371829e-06,0.158692757308945,4.54337060191977e-06,-0.0396396949814514,7.47596715173236e-07
1.18,25.7436032224215,-4.15798766972841e-06,0.159103885747822,4.41088538349164e-06,-0.0400969795343526,9.36728125083936e-07
1.2,25.7440689300465,-2.71105490057266e-06,0.159348914128774,4.27063425698645e-06,-0.0405220644193087,1.12969885570507e-06
1.22,25.7445002913628,-1.18895710521372e-06,0.159433967617576,4.12275278250464e-06,-0.0409150074015495,1.32637433766229e-06
1.24,25.7448973214562,3.91967496682355e-07,0.159363808127011,3.96552114765698e-06,-0.0412758461515586,1.52610759498065e-06
1.26,25.745260063929,2.00583692233636e-06,0.159142094481122,3.79768787378718e-06,-0.041604640734647,1.72785591399527e-06
1.28,25.7455886268801,3.64203435410104e-06,0.158771646407613,3.61962119350018e-06,-0.0419015076506791,1.93107812296412e-06
1.3,25.7458831436521,5.29732805532035e-06,0.15825489892011,3.43157056088122e-06,-0.0421665865508033,2.13551120256809e-06
1.32,25.7461437482178,6.97318413145354e-06,0.15759421124829,3.23353231690133e-06,-0.0424000194652836,2.34108572067723e-06
1.34,25.7463705560033,8.67264123627365e-06,0.156792100700538,3.02544471966227e-06,-0.0426019345384029,2.54780762831971e-06
1.36,25.7465636561173,1.03977726446658e-05,0.155851374425073,2.807305553937e-06,-0.0427724395400759,2.75566071493981e-06
1.38,25.746723113497,1.2148627330788e-05,0.15477514443722,2.57922422445933e-06,-0.0429116237212706,2.96456345610286e-06
1.4,25.7468489758367,1.39234935883081e-05,0.153566736658504,2.34140846141775e-06,-0.043019563424963,3.17437612714951e-06
1.42,25.7469412801136,1.57198025032557e-05,0.152229532121466,2.09411818698193e-06,-0.0430963269722976,3.38493300983167e-06
1.44,25.7470000557593,1.75350125921625e-05,0.150766794332658,1.83761935317833e-06,-0.0431419764624436,3.59607482562365e-06
1.46,25.7470253242004,1.93671174866239e-05,0.149181534151841,1.57215696504992e-06,-0.0431565665235764,3.80766771260435e-06
1.48,25.7470170962726,2.12147159750486e-05,0.147476444258268,1.29794984340765e-06,-0.04314014155167,4.01960620589097e-06
1.5,25.7469753694632,2.30768055420327e-05,0.145653908441445,1.01520136433318e-06,-0.0430927332233109,4.23180607098455e-06
1.52,25.7469001262433,2.49525053455102e-05,0.143716065898464,7.24111920289681e-07,-0.0430143592972843,4.44419837972934e-06
1.54,25.7467913339345,2.68408488679484e-05,0.141664895705055,4.24894102142118e-07,-0.0429050239064838,4.65671701666258e-06
1.56,25.7466489469311,2.87406963810355e-05,0.139502292207943,1.17779696890669e-07,-0.0427647199260978,4.86929334476005e-06
1.58,25.7464729084165,3.06507692986457e-05,0.137230108369595,-1.96983523079218e-07,-0.0425934306999554,5.08186340220809e-06
